prefecture,city,city_name,year,population,establishment
1,100,札幌市,2000,1822368,1666
1,100,札幌市,2005,1880863,1271
1,202,函館市,2000,305311,539
1,202,函館市,2005,294264,396
1,203,小樽市,2000,150687,402
1,203,小樽市,2005,142161,324
1,204,旭川市,2000,359536,639
1,204,旭川市,2005,355004,511
1,205,室蘭市,2000,103278,195
1,205,室蘭市,2005,98372,168
1,206,釧路市,2000,201566,293
1,206,釧路市,2005,190478,232
1,207,帯広市,2000,173030,200
1,207,帯広市,2005,170580,161
1,208,北見市,2000,132125,240
1,208,北見市,2005,129365,179
1,209,夕張市,2000,14791,37
1,209,夕張市,2005,13001,30
1,210,岩見沢市,2000,96302,101
1,210,岩見沢市,2005,93677,93
1,211,網走市,2000,43395,74
1,211,網走市,2005,42045,68
1,212,留萌市,2000,28325,50
1,212,留萌市,2005,26826,38
1,213,苫小牧市,2000,172086,273
1,213,苫小牧市,2005,172758,259
1,214,稚内市,2000,43774,133
1,214,稚内市,2005,41592,109
1,215,美唄市,2000,31183,71
1,215,美唄市,2005,29083,59
1,216,芦別市,2000,21026,56
1,216,芦別市,2005,18899,38
1,217,江別市,2000,123877,96
1,217,江別市,2005,125601,73
1,218,赤平市,2000,15753,43
1,218,赤平市,2005,14401,33
1,219,紋別市,2000,28476,101
1,219,紋別市,2005,26632,87
1,220,士別市,2000,24991,60
1,220,士別市,2005,23411,53
1,221,名寄市,2000,33328,55
1,221,名寄市,2005,31628,45
1,222,三笠市,2000,13561,37
1,222,三笠市,2005,11927,29
1,223,根室市,2000,33150,117
1,223,根室市,2005,31202,94
1,224,千歳市,2000,88897,104
1,224,千歳市,2005,91437,93
1,225,滝川市,2000,46861,59
1,225,滝川市,2005,45562,48
1,226,砂川市,2000,21072,44
1,226,砂川市,2005,20068,33
1,227,歌志内市,2000,5941,6
1,227,歌志内市,2005,5221,5
1,228,深川市,2000,27579,36
1,228,深川市,2005,25838,35
1,229,富良野市,2000,26112,38
1,229,富良野市,2005,25076,26
1,230,登別市,2000,54761,75
1,230,登別市,2005,53135,63
1,231,恵庭市,2000,65239,103
1,231,恵庭市,2005,67614,88
1,233,伊達市（北海道）,2000,37139,40
1,233,伊達市（北海道）,2005,37066,33
1,234,北広島市,2000,57731,97
1,234,北広島市,2005,60677,81
1,235,石狩市,2000,59734,147
1,235,石狩市,2005,60104,147
1,236,北斗市,2000,46804,80
1,236,北斗市,2005,48056,70
2,201,青森市,2000,318732,359
2,201,青森市,2005,311508,260
2,202,弘前市,2000,193217,305
2,202,弘前市,2005,189043,222
2,203,八戸市,2000,248608,446
2,203,八戸市,2005,244700,371
2,204,黒石市,2000,39059,82
2,204,黒石市,2005,38455,56
2,205,五所川原市,2000,63208,135
2,205,五所川原市,2005,62181,99
2,206,十和田市,2000,69630,129
2,206,十和田市,2005,68359,104
2,207,三沢市,2000,42495,50
2,207,三沢市,2005,42425,42
2,208,むつ市,2000,67022,91
2,208,むつ市,2005,64052,56
2,209,つがる市,2000,41320,59
2,209,つがる市,2005,40091,48
2,210,平川市,2000,36454,57
2,210,平川市,2005,35336,43
