rent,service,floor,walk,bus,city,n_room,age,apartment
3.9,3000,,6,1,kunitachi_city,1,34,1
6.8,4000,24.84,16,,kokubunji_city,2,6,1
11.3,6000,73.5,16,,kunitachi_city,5,33,0
12,0,65.4,20,,kokubunji_city,5,31,0
7,2000,35,15,,kunitachi_city,3,36,1
4,0,19.99,10,,kunitachi_city,2,34,0
6.6,2000,24.94,6,,kokubunji_city,2,11,1
5.8,5000,19.87,13,,kunitachi_city,1,18,1
6.6,5000,22.98,16,,kunitachi_city,2,8,1
22.7,10000,88.54,14,,kunitachi_city,5,19,0
5.5,4000,32.8,14,,kunitachi_city,3,46,0
5.9,3000,23.3,3,,kunitachi_city,2,34,0
8.2,10000,20.59,2,,kunitachi_city,2,6,0
8.8,9000,29,4,,kunitachi_city,2,8,0
9.6,6000,28.17,1,,kunitachi_city,2,2,0
6.3,4000,23.6,21,,kokubunji_city,2,6,1
6.6,2000,21.7,4,,kunitachi_city,2,37,0
6.4,2000,26.43,13,,kunitachi_city,2,31,1
5.2,3000,17.5,6,,kunitachi_city,1,26,0
8,5000,33.9,15,,kunitachi_city,2,35,0
5.5,0,34.65,24,,kokubunji_city,3,45,1
4.7,0,19.44,15,,kunitachi_city,1,35,0
9.5,0,60.13,15,,kokubunji_city,5,30,1
9.7,0,45.38,5,,kokubunji_city,3,10,1
9.5,0,46.58,12,,kunitachi_city,3,25,1
8,3000,52.48,14,,kokubunji_city,4,36,0
6.5,2000,36,15,,kunitachi_city,3,38,0
9.5,3000,52.89,19,,kokubunji_city,4,40,0
7.3,3000,37,15,,kunitachi_city,3,28,1
6,0,38.1,8,,kokubunji_city,3,42,1
9.5,4000,51,18,,kunitachi_city,3,15,1
10.7,0,55,13,,kokubunji_city,4,41,0
9.4,3000,47.02,12,,kokubunji_city,3,35,0
7.2,7000,29.43,3,,kunitachi_city,2,22,0
6.4,2000,29,14,,kunitachi_city,3,35,0
8.5,9000,37.24,5,,kunitachi_city,2,21,0
7.2,3000,23.73,6,,kunitachi_city,2,14,0
6.6,5000,22.98,15,,kunitachi_city,2,8,1
7.8,0,26,9,,kunitachi_city,2,18,1
15,5000,81.68,17,,kokubunji_city,5,36,0
4.8,3000,14.04,10,,kokubunji_city,1,5,1
8.9,10000,20.8,2,,kunitachi_city,2,6,0
9.6,6000,28.17,2,,kunitachi_city,2,2,0
4.9,0,20.72,15,,kunitachi_city,2,25,0
5.4,0,17.01,5,,kokubunji_city,1,10,1
5.8,0,23,12,,kunitachi_city,2,33,1
6,0,19.2,6,,kokubunji_city,1,25,1
6,0,21.76,15,,kunitachi_city,2,31,0
4.5,0,17.6,10,,kokubunji_city,1,31,1
3.9,0,19.8,8,,kokubunji_city,2,32,1
5.9,9000,19.8,10,,kunitachi_city,1,33,0
5.5,2000,20.46,5,,kokubunji_city,2,33,1
4.3,0,18.9,5,,kunitachi_city,2,37,0
5.5,2000,20.46,4,,kokubunji_city,2,33,1
3.5,2000,20.7,12,,kokubunji_city,2,32,1
3.8,0,18,5,,kokubunji_city,2,31,1
4.4,1000,21.06,10,,kunitachi_city,2,35,1
12.5,3000,52.58,5,,kunitachi_city,3,38,0
5,2000,17.35,9,,kunitachi_city,1,30,1
4.9,0,17.37,7,,kunitachi_city,1,29,1
4.3,2000,17.01,13,,kunitachi_city,2,36,1
4.3,2000,20.3,15,,kunitachi_city,2,32,1
4,3000,17.35,3,,kunitachi_city,2,35,1
7,2000,30,19,,kunitachi_city,2,42,0
3.4,3500,17,9,,kokubunji_city,1,36,1
5.6,4000,33,21,,kokubunji_city,3,51,0
5.5,0,22.14,5,,kunitachi_city,2,45,1
7.2,0,33.1,15,,kokubunji_city,2,44,1
3.6,4000,15.6,3,,kunitachi_city,1,33,0
30000,2000,14.4,11,,kunitachi_city,1,36,0
5,3000,23.11,6,,kokubunji_city,2,56,0
3.5,0,17.82,19,,kunitachi_city,2,45,1
9.5,2000,60.11,15,,kokubunji_city,5,30,1
9.6,4000,42.58,12,,kunitachi_city,3,2,0
8.8,3000,51.67,22,,kokubunji_city,4,19,1
9.8,4000,35.89,12,,kokubunji_city,3,3,0
6.8,0,34.78,11,,kokubunji_city,3,30,1
7.9,3000,56.92,5,7,tachikawa_city,4,29,0
9.7,5000,40,9,,kokubunji_city,3,31,0
6.5,0,40.9,9,,kunitachi_city,3,35,1
10.1,3500,55,15,,kunitachi_city,3,11,1
7.5,2000,36.45,8,,kokubunji_city,1,36,0
7.5,0,41,14,,kokubunji_city,3,36,1
6.9,3000,37.3,15,,kunitachi_city,3,35,1
7,0,26.7,17,,kunitachi_city,3,19,0
9.8,0,53.6,10,,kokubunji_city,4,34,0
7.2,0,36.27,12,,kunitachi_city,3,34,0
20,10000,85.65,7,,kunitachi_city,6,29,0
7.5,0,21.7,4,,kunitachi_city,2,3,1
7.8,5000,32.07,13,,kunitachi_city,3,32,0
3.8,2000,17.36,12,,kokubunji_city,1,31,1
7.2,3000,26.55,8,,kunitachi_city,2,19,0
5.4,0,21.26,12,,kunitachi_city,2,26,1
5.7,2000,34.65,1,1,tachikawa_city,3,34,1
5.2,3000,20.38,8,,kunitachi_city,2,30,0
10.5,7000,46.77,20,,kokubunji_city,3,25,0
15,5000,81.68,19,,kokubunji_city,5,36,0
5,2000,19.4,14,,kunitachi_city,2,27,0
5,0,22.05,18,,kokubunji_city,1,13,1
4.7,0,17.39,14,,kunitachi_city,2,26,1
6.7,3000,27.5,5,,kunitachi_city,2,42,1
4.8,2000,18.5,13,,kunitachi_city,2,30,1
4.7,1000,23.43,14,,kunitachi_city,2,30,1
5,0,21.5,9,,kunitachi_city,2,43,0
5,2000,23.1,15,,kunitachi_city,2,31,1
4.4,2000,21.5,11,,kunitachi_city,2,35,0
5.2,2000,20.59,5,,kunitachi_city,2,35,0
5.1,2000,32.2,8,,kokubunji_city,3,50,0
4,2000,18,15,,kunitachi_city,2,29,0
3.8,0,17,7,,kunitachi_city,2,32,1
3.3,3000,17.92,15,,kokubunji_city,2,28,0
19,0,97.25,9,,kunitachi_city,4,34,0
4.3,0,19.87,14,,kunitachi_city,2,36,1
4.6,3000,22.35,9,,kokubunji_city,2,37,1
4.3,0,23,14,,kunitachi_city,2,36,1
4.2,3000,23,8,,kunitachi_city,2,45,0
4.9,0,19.8,14,,kokubunji_city,2,38,1
4,0,17.3,9,,kunitachi_city,1,37,1
3.8,0,19.51,15,,kunitachi_city,2,32,1
4.9,2000,23.14,20,,kunitachi_city,2,27,1
3.7,3000,17.08,13,,kunitachi_city,2,39,0
3.5,0,12.56,9,,kokubunji_city,1,34,1
3.3,1000,20,7,,kunitachi_city,2,37,1
3.8,1000,18,20,,kokubunji_city,2,27,1
4.1,1000,23.53,11,,kunitachi_city,2,52,0
3.2,2000,14,12,,kunitachi_city,1,33,1
3.5,1000,17.01,17,,kokubunji_city,2,33,1
4,0,24.79,11,,kunitachi_city,2,52,1
3.4,2300,16.5,17,,kokubunji_city,1,32,1
3.7,5000,15.39,3,,kunitachi_city,1,42,0
6.3,2000,34.65,38,,kunitachi_city,3,47,1
15,2000,66,8,,kunitachi_city,1,35,0
3.3,1000,,27,,kokubunji_city,2,48,1
