age,wage,tenure,male,education
18,173.3,1.1,0,1
18,189,.9,0,2
18,177.3,1.4,1,1
18,207.9,1,1,2
22,199.6,2.6,0,1
22,209.3,3.2,0,2
22,234.5155,1.918697,0,3
22,250.6319,1.291972,0,4
22,244.6,2.6,1,1
22,243.8,3.3,1,2
22,238.2246,1.951185,1,3
22,259.8369,1.279746,1,4
27,229.4,2.9,0,1
27,220.7,5.3,0,2
27,258.5998,4.216142,0,3
27,283.1336,3.550978,0,4
27,279.1,4.3,1,1
27,279.3,5.9,1,2
27,275.8479,4.571533,1,3
27,314.6693,3.76136,1,4
32,222.1,4.8,0,1
32,227.5,7.5,0,2
32,263.1598,6.312264,0,3
32,308.2985,5.991548,0,4
32,308.5,6.3,1,1
32,309,8.7,1,2
32,311.1954,7.198406,1,3
32,367.6249,6.715246,1,4
37,223.5,5.8,0,1
37,232.8,8.5,0,2
37,278.2876,8.79338,0,3
37,335.3057,8.83401,0,4
37,335.9,9.4,1,1
37,334.1,10.8,1,2
37,343.5916,9.963174,1,3
37,428.2903,10.02925,1,4
42,221.6,6.7,0,1
42,243,9.9,0,2
42,293.9575,10.89115,0,3
42,356.0727,11.16256,0,4
42,351.7,12.4,1,1
42,357.9,13.6,1,2
42,372.2593,13.05665,1,3
42,463.7554,13.29135,1,4
47,240.1,10.5,0,1
47,250.7,12.3,0,2
47,306.7343,12.76306,0,3
47,376.8363,13.14652,0,4
47,352.8,13.1,1,1
47,380.1,17.1,1,2
47,396.5859,16.33601,1,3
47,496.0418,16.97655,1,4
52,228.4,10.2,0,1
52,255.3,13.5,0,2
52,317.8631,14.88124,0,3
52,400.8323,15.14526,0,4
52,355.5,16.2,1,1
52,388.5,19.9,1,2
52,418.2773,19.72492,1,3
52,538.1576,21.02786,1,4
57,232.5,13.8,0,1
57,255.4,15.7,0,2
57,322.5289,16.41815,0,3
57,414.9451,17.12321,0,4
57,349.6,19.8,1,1
57,388,22.3,1,2
57,427.5391,21.65804,1,3
57,547.006,23.94343,1,4
62,209.4,16,0,1
62,221.3,16.3,0,2
62,274.5379,16.25556,0,3
62,351.8904,15.77551,0,4
62,286.5,19.2,1,1
62,303,20.7,1,2
62,328.7806,20.42228,1,3
62,407.1436,20.66603,1,4
